near_miss_id,site_id,report_date,hazard_category,shift,location_on_site,potential_severity,corrective_action_taken,description
1,1,2025-10-13,Hazardous substances,Night,Underground,Medium,True,Fugiat laboriosam laboriosam nisi sit iste sunt vitae.
2,1,2023-12-02,Mobile equipment,Day,Processing plant,High,True,Veritatis quidem rem quae aliquam dignissimos ducimus laudantium error laudantium corporis.
3,1,2024-01-10,Mobile equipment,Night,Camp,High,True,Id nemo velit ipsum perferendis distinctio id minima sit aspernatur magni quidem eius.
4,1,2025-02-18,Manual handling,Day,Workshop,High,True,Perferendis fugit iusto odit minima voluptatum vel voluptatum quibusdam praesentium omnis.
5,1,2023-11-24,Ground fall,Night,Underground,High,True,Nulla animi velit veniam exercitationem voluptatibus sunt in amet omnis tempore minima.
6,1,2024-06-12,Ground fall,Night,Workshop,Low,True,Quod placeat tempore illo libero porro commodi culpa officiis minus perspiciatis autem dolor praesentium enim laborum.
7,1,2024-09-20,Manual handling,Afternoon,Haul road,Medium,True,Tempora aperiam magnam eius voluptate fugit soluta architecto distinctio a vel quia earum doloremque architecto enim eum sapiente.
8,1,2024-09-05,Explosives,Night,Open pit,Low,False,Repudiandae sunt velit est totam inventore cum voluptas voluptatem exercitationem odio illo perspiciatis cum assumenda laborum et quae.
9,1,2024-07-27,Ground fall,Day,Underground,High,False,Placeat iste mollitia fuga rem minus natus consectetur ab.
10,1,2025-07-28,Mobile equipment,Night,Open pit,Medium,True,Qui modi explicabo deleniti consequatur porro incidunt eveniet veniam praesentium laboriosam recusandae quas doloribus eius quibusdam nemo illo.
11,1,2024-05-07,Ground fall,Day,Workshop,Low,False,Nisi asperiores odio reiciendis nemo magnam corporis nostrum voluptates ratione.
12,1,2024-10-28,Ground fall,Night,Haul road,Low,False,Molestiae architecto nobis eum velit porro illum in voluptatibus alias enim laboriosam nobis impedit iusto.
13,1,2024-08-13,Mobile equipment,Day,Haul road,Medium,True,Sapiente quod quasi itaque aperiam itaque quae quod voluptas dolores ut rerum sequi consectetur aliquam ab.
14,1,2025-01-13,Explosives,Afternoon,Camp,Low,False,Et nihil beatae cupiditate commodi in amet soluta odit adipisci debitis officiis alias dignissimos fugiat est maiores dolore dignissimos.
15,1,2025-07-31,Manual handling,Afternoon,Workshop,High,False,Praesentium fugit enim cupiditate rem aperiam asperiores reprehenderit doloribus molestias perspiciatis corporis rerum cupiditate.
16,1,2025-07-03,Mobile equipment,Day,Processing plant,High,False,Ipsum sit deserunt tempora ipsa deserunt dignissimos odio eligendi animi a.
17,1,2023-12-04,Mobile equipment,Night,Processing plant,Medium,True,Quas repellat tenetur voluptatum omnis excepturi deleniti blanditiis dolorem hic in.
18,1,2025-06-29,Mobile equipment,Night,Haul road,High,False,Eius iste eum expedita saepe natus temporibus inventore impedit repellendus ducimus rem cum nihil nostrum.
19,1,2025-11-05,Fall from height,Day,Underground,Medium,True,Quis asperiores esse ut assumenda voluptates id quisquam veniam iusto animi dolore dignissimos vel quod eius ducimus commodi.
20,1,2024-06-26,Mobile equipment,Night,Workshop,Medium,True,Nam beatae debitis beatae cumque dolore quod aliquam voluptates.
21,1,2025-08-31,Ground fall,Afternoon,Camp,Medium,True,Repellat quisquam quo ipsam cumque sunt at debitis beatae quos deserunt incidunt occaecati amet explicabo tempore.
22,1,2024-12-26,Hazardous substances,Afternoon,Processing plant,High,True,Tenetur occaecati quas dignissimos aperiam modi corporis dolorum.
23,1,2025-04-02,Ground fall,Day,Underground,Low,False,Consequuntur aliquam ullam nesciunt accusantium eaque nemo nesciunt voluptatum iusto quae sint.
24,1,2023-08-17,Mobile equipment,Afternoon,Haul road,Medium,True,Quam amet deleniti fugiat placeat sint eligendi nisi voluptatum labore molestiae eos ex.
25,1,2024-12-03,Fall from height,Night,Underground,High,True,Iure similique repudiandae quam impedit laudantium omnis eum quo distinctio vitae natus vero vero quaerat deleniti numquam totam a.
26,1,2024-07-07,Mobile equipment,Day,Workshop,Low,True,Inventore odio animi suscipit odit sint officiis ipsa amet vero officiis a similique eaque earum.
27,1,2025-02-26,Fall from height,Day,Processing plant,High,False,Doloremque ea laborum fuga autem autem perferendis molestias excepturi quae odit.
28,1,2025-11-15,Fall from height,Afternoon,Camp,Medium,True,Architecto iste mollitia a consequatur incidunt cum omnis perspiciatis qui quos doloremque earum nisi ex nesciunt fuga.
29,1,2024-06-19,Hazardous substances,Afternoon,Processing plant,Medium,True,A voluptate distinctio reprehenderit aliquid est voluptate aspernatur dicta nulla voluptatibus ullam magnam facilis cum consequuntur repudiandae porro officia.
30,1,2025-04-24,Mobile equipment,Night,Processing plant,High,False,In dicta cupiditate nihil ut eum consectetur neque assumenda laborum delectus deserunt quasi eveniet.
31,1,2023-08-19,Mobile equipment,Afternoon,Haul road,Medium,False,Dolorem ducimus voluptatibus corrupti possimus quidem deserunt sunt ab aliquam ex commodi minima accusantium dolorem.
32,1,2025-09-25,Ground fall,Afternoon,Open pit,Medium,False,Necessitatibus qui magnam animi architecto rem exercitationem quae incidunt laborum eveniet at.
33,1,2026-01-03,Fall from height,Day,Workshop,Medium,True,Dignissimos laudantium laborum quis dicta error tempora illo velit ratione.
34,1,2024-03-26,Electrical,Day,Underground,High,False,Magnam modi maxime quasi rerum odio accusamus odio officiis dolores voluptate dolor suscipit dolorem cum dolore vero commodi.
35,1,2023-07-27,Mobile equipment,Afternoon,Open pit,Medium,False,Expedita iusto officia est accusantium qui consectetur quaerat nulla aliquid perspiciatis facilis.
36,1,2024-08-22,Explosives,Afternoon,Haul road,High,True,Tempora nihil id impedit doloribus deleniti quaerat ut corrupti quod.
37,1,2026-04-04,Explosives,Night,Haul road,Medium,False,Esse officia impedit iste explicabo vero doloremque corporis quasi ducimus.
38,1,2025-07-04,Ground fall,Day,Underground,Medium,False,Beatae repellendus nisi ex consequuntur adipisci asperiores nihil nemo.
39,1,2023-10-31,Hazardous substances,Night,Workshop,Low,False,Esse dolorem praesentium autem ea distinctio dignissimos nostrum delectus odit dolorem.
40,1,2023-08-04,Fall from height,Night,Workshop,Low,False,Perspiciatis quo blanditiis nobis explicabo nulla blanditiis hic nostrum possimus aut natus nulla voluptatum iste.
41,1,2026-01-26,Manual handling,Night,Workshop,Low,True,Deleniti consequuntur alias nisi eius consequatur reiciendis dolorem.
42,1,2025-10-03,Ground fall,Afternoon,Processing plant,High,False,Ipsa animi accusantium sit dolores excepturi reprehenderit minima consectetur excepturi omnis.
43,1,2024-11-04,Mobile equipment,Afternoon,Open pit,Medium,True,Laudantium laudantium repellat reprehenderit ipsum voluptatum temporibus tenetur unde eos voluptate repudiandae deserunt.
44,1,2025-02-04,Hazardous substances,Day,Processing plant,High,False,Excepturi minima possimus quo perferendis accusamus quos soluta non.
45,1,2025-11-26,Electrical,Day,Haul road,Medium,True,Sapiente laborum accusamus ut voluptas et dolorum nesciunt accusamus placeat non eveniet rerum quia recusandae.
46,1,2023-08-02,Fall from height,Afternoon,Underground,Medium,False,Amet consequuntur assumenda cum molestias dignissimos fuga eum unde deleniti eius soluta labore recusandae sed.
47,1,2025-12-26,Fall from height,Afternoon,Camp,Low,True,Quaerat molestiae necessitatibus libero nulla illo quibusdam adipisci molestias maiores iure quas mollitia.
48,1,2024-05-21,Explosives,Day,Camp,High,False,Fugit autem in neque doloribus laboriosam expedita eaque magnam tempora a.
49,1,2026-05-23,Manual handling,Afternoon,Workshop,High,True,Maiores eaque numquam accusantium esse distinctio doloremque dolores odio.
50,1,2025-12-12,Ground fall,Afternoon,Underground,Medium,False,Facilis unde repellendus modi animi dolorem rem ullam architecto voluptatem eligendi quas corrupti at.
51,1,2023-09-02,Mobile equipment,Night,Camp,Medium,False,Facere magni cupiditate eaque incidunt accusantium provident consequuntur nesciunt aliquid exercitationem veniam.
52,1,2025-04-17,Fall from height,Day,Underground,Low,False,Corrupti reiciendis illum modi vero accusamus consequuntur quam natus architecto ea optio fugiat.
53,1,2025-09-14,Mobile equipment,Afternoon,Open pit,High,True,Ipsum praesentium necessitatibus non voluptate aspernatur earum aspernatur voluptates animi vero atque.
54,1,2024-12-28,Hazardous substances,Night,Processing plant,Low,False,Hic enim ratione optio ipsum dolore atque dolor molestias at enim voluptas optio voluptas.
55,1,2025-01-05,Manual handling,Night,Processing plant,High,False,Labore optio fugiat nostrum rerum excepturi ipsum repudiandae nihil natus dolore fugiat corrupti ratione tenetur magni dignissimos.
56,1,2026-02-21,Mobile equipment,Afternoon,Camp,Low,True,Atque possimus nemo unde voluptatum delectus iusto quidem dolores aut saepe doloremque maiores quisquam totam facere.
57,1,2025-05-23,Fall from height,Night,Open pit,High,True,Autem dolores exercitationem corporis quibusdam ut ipsam doloribus necessitatibus impedit.
58,1,2023-12-19,Explosives,Day,Haul road,Medium,True,Enim possimus laboriosam facere aspernatur voluptates possimus sunt dignissimos quam molestias odit optio quaerat atque.
59,1,2024-06-11,Explosives,Night,Workshop,Medium,False,Placeat quo maiores sequi libero temporibus ea repudiandae quasi dignissimos debitis temporibus quia.
60,1,2024-10-04,Mobile equipment,Night,Underground,High,False,Error recusandae sapiente fuga commodi magni repellat ipsam dignissimos labore architecto enim cumque.
61,1,2025-12-23,Ground fall,Night,Haul road,Medium,False,Numquam odit provident nemo cumque inventore consequuntur dolorum minima et nulla nisi praesentium incidunt magni.
62,1,2023-11-10,Mobile equipment,Night,Camp,Medium,True,Porro vitae nobis quidem explicabo quos nobis nulla mollitia adipisci laborum nulla laborum pariatur molestias ea debitis quis.
63,1,2023-09-08,Mobile equipment,Afternoon,Open pit,High,False,Dolores est necessitatibus totam possimus laudantium a beatae fugiat fuga voluptas distinctio dolore commodi omnis facere ad eius.
64,1,2024-09-25,Ground fall,Day,Processing plant,Medium,True,Molestias quasi laudantium reiciendis nulla illum earum incidunt quasi beatae sint illo repellendus nulla magni non doloribus.
