site_id,operator_name,COMMODITY,REGION,total_area_ha
1,FMG PILBARA PTY LTD,Iron Ore,Pilbara,157969.07
2,BIG BELL GOLD OPERATIONS PTY LTD,Gold,Goldfields,80706.51
3,CHICHESTER METALS PTY LTD,Iron Ore,Pilbara,75957.29
4,AGNEW GOLD MINING COMPANY PTY LIMITED,Gold,Goldfields,59292.8
5,BHP NICKEL WEST PTY LTD,Nickel,Goldfields,59207.89
6,MURRIN MURRIN OPERATIONS PTY LTD,Nickel,Goldfields,56733.29
7,ST IVES GOLD MINING COMPANY PTY LIMITED,Gold,Goldfields,55654.17
8,CENTRAL NORSEMAN GOLD CORPORATION PTY LTD,Gold,Goldfields,54509.95
9,NORTHERN STAR RESOURCES LTD,Other,Other WA,42645.39
10,PADDINGTON GOLD PTY LIMITED,Gold,Goldfields,39826.7
11,ROY HILL IRON ORE PTY LTD,Other,Other WA,37720.35
12,GSM MINING COMPANY PTY LTD,Other,Other WA,35083.59
13,BARTO GOLD MINING PTY LTD,Gold,Goldfields,30875.06
14,MYAMBA MINERALS PTY LTD,Other,Other WA,30518.11
15,CATALYST (MARYMIA) PTY LTD,Other,Other WA,27691.04
16,SO4 PTY LTD,Other,Other WA,27635.75
17,AFB RESOURCES PTY LTD,Other,Other WA,27228.0
18,TRONOX MANAGEMENT PTY LTD,Other,Other WA,26695.73
19,NORTHERN STAR (THUNDERBOX) PTY LTD,Other,Other WA,25821.89
20,GENESIS MINERALS (LEONORA) PTY LTD,Other,Goldfields,25539.94
